ROUTE,ROUTE_TYPE,PASSENGERS,FREIGHT,MAIL,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,YEAR,QUARTER,MONTH,CLASS,CRUISE_SPEED_MPH,TIME_ELAPSED_HRS,CRUISE_ALTITUDE_FT,AIRCRAFT_MODEL,FUEL_BURN_LBS_PER_HOUR,TOTAL_FUEL_BURN_LBS
ABQ - LGA,Medium-haul,27,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,12,F,360,6,28087,Boeing 737-800,5282,31690
ABQ - LGA,Medium-haul,116,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,2,5,F,360,6,31466,Boeing 737-800,5792,34749
ABQ - LGA,Medium-haul,123,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,11,F,360,6,30376,Boeing 737-800,6000,36000
ABQ - LGA,Medium-haul,148,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,10,F,360,6,30823,Boeing 737-800,5595,33573
ABQ - LGA,Medium-haul,153,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,2,6,F,360,6,30171,Boeing 737-800,6000,36000
ABQ - LGA,Medium-haul,169,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,3,7,F,360,6,30344,Boeing 737-800,5561,33364
ABQ - LGA,Medium-haul,202,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,3,9,F,360,6,30931,Boeing 737-800,5919,35513
ABQ - LGA,Medium-haul,227,0,0,1821,AA,American Airlines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,3,8,F,360,6,28894,Boeing 737-800,5475,32849
ABQ - LGA,Medium-haul,0,0,0,1821,UA,United Air Lines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,10,F,360,6,29355,Airbus A320,6000,36000
ABQ - LGA,Medium-haul,4,0,0,1821,UA,United Air Lines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,12,F,360,6,30087,Airbus A320,6000,36000
ABQ - LGA,Medium-haul,19,0,0,1821,UA,United Air Lines Inc.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,11,F,360,6,29482,Airbus A320,6000,36000
ABQ - LGA,Medium-haul,17,0,0,1821,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,1,1,F,360,6,30097,Boeing 737-700,5400,32400
ABQ - LGA,Medium-haul,29,0,0,1821,WN,Southwest Airlines Co.,ABQ,"Albuquerque, NM",LGA,"New York, NY",2024,4,12,F,360,6,30261,Boeing 737-700,5160,30963
